City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Aklavik,CA,68.2191,-135.0107,19.85,85,91,11.25,overcast clouds
274,Camacari,BR,-12.6975,-38.3242,80.37,94,83,5.28,light rain
275,Cayenne,GF,4.9333,-52.3333,81.09,1,20,5.99,few clouds
276,Marrakesh,MA,31.6315,-8.0083,68.07,42,0,3.44,clear sky
277,Fairbanks,US,64.8378,-147.7164,41.09,25,0,6.91,clear sky
278,Sola,VU,-13.8833,167.55,82.45,72,15,7.61,few clouds
279,Kyabe,TD,9.4515,18.9449,82.18,61,100,4.54,overcast clouds
280,Grants,US,35.1473,-107.8514,62.83,9,0,8.05,clear sky
281,Santa Rosa,PH,14.3122,121.1114,88.11,67,53,14.38,broken clouds
282,Balkhash,KZ,46.844,74.9804,52.41,32,0,13.42,clear sky
283,Camacha,PT,33.0833,-16.3333,58.42,82,40,16.11,scattered clouds
284,Panama City,PA,8.9936,-79.5197,81.45,87,40,4.61,scattered clouds
285,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,38,100,11.5,overcast clouds
286,Vila Velha,BR,-20.3297,-40.2925,73.94,81,21,5.01,few clouds
287,Bathsheba,BB,13.2167,-59.5167,78.53,77,94,17.22,overcast clouds
288,Broken Hill,AU,-31.95,141.4333,81.16,24,100,18.03,overcast clouds
289,Dingle,PH,10.9995,122.6711,84.69,68,41,12.66,scattered clouds
290,Almaznyy,RU,48.0448,40.045,52.09,68,100,10.27,overcast clouds
291,Fort Nelson,CA,58.8053,-122.7002,19.85,75,100,2.44,overcast clouds
292,Sulphur,US,30.2366,-93.3774,76.01,88,40,4.61,scattered clouds
293,Pangai,TO,-19.8,-174.35,82.44,74,65,11.52,broken clouds
294,Cloquet,US,46.7216,-92.4594,29.37,93,100,8.05,overcast clouds
295,Ornes,NO,66.8689,13.7078,43.2,81,100,6.89,overcast clouds
296,Warrington,GB,53.3925,-2.5802,52.86,86,20,6.91,few clouds
297,Aykhal,RU,66.0,111.5,24.48,91,100,19.69,overcast clouds
298,Winnipeg,CA,49.8844,-97.147,27.09,92,100,13.8,snow
299,Poltavka,RU,54.3663,71.7632,42.37,70,100,9.75,overcast clouds
300,Kanniyakumari,IN,8.0833,77.5667,82.38,78,54,13.62,broken clouds
301,Larsnes,NO,62.2028,5.5773,47.68,84,100,2.93,overcast clouds
302,Umm Lajj,SA,25.0213,37.2685,84.7,20,100,8.95,overcast clouds
303,Alofi,NU,-19.0595,-169.9187,81.57,75,99,11.43,overcast clouds
304,Rio Branco Do Sul,BR,-25.19,-49.3142,57.27,98,79,2.8,broken clouds
305,Point Fortin,TT,10.1833,-61.6833,77.86,81,55,12.93,broken clouds
306,Hualmay,PE,-11.0964,-77.6139,66.54,84,31,7.45,scattered clouds
307,Passo Fundo,BR,-28.2628,-52.4067,54.0,90,8,6.04,clear sky
308,Itoman,JP,26.1247,127.6694,73.42,60,40,6.91,scattered clouds
309,Coquimbo,CL,-29.9533,-71.3436,59.67,80,0,3.89,clear sky
310,Ahipara,NZ,-35.1667,173.1667,70.66,87,100,12.53,overcast clouds
311,Buraydah,SA,26.326,43.975,66.6,18,10,8.97,clear sky
312,Cuamba,MZ,-14.8031,36.5372,65.52,99,23,3.13,few clouds
313,Huarmey,PE,-10.0681,-78.1522,67.26,84,7,8.43,clear sky
314,Mount Gambier,AU,-37.8333,140.7667,58.91,88,75,9.22,broken clouds
315,Kiruna,SE,67.8557,20.2251,34.72,93,100,2.3,overcast clouds
316,Codrington,AU,-38.2667,141.9667,59.31,76,100,11.05,overcast clouds
317,Anadyr,RU,64.75,177.4833,32.5,86,75,17.9,light shower snow
318,Karasjok,NO,69.4719,25.5112,35.6,99,100,5.77,overcast clouds
319,Nyagan,RU,62.1406,65.3936,25.52,90,30,6.71,scattered clouds
320,Cockburn Town,TC,21.4612,-71.1419,78.08,85,72,22.57,broken clouds
321,Khandyga,RU,62.6667,135.6,29.16,82,98,6.24,overcast clouds
322,Payakumbuh,ID,-0.2202,100.6308,71.62,99,100,2.98,moderate rain
323,Barranca,PE,-10.75,-77.7667,66.27,82,48,6.71,scattered clouds
324,Gao,ML,16.6362,1.637,74.68,17,99,8.63,overcast clouds
325,Plainview,US,40.7765,-73.4673,45.75,48,0,3.44,clear sky
326,Lander,US,42.833,-108.7307,42.98,32,39,1.61,scattered clouds
327,Gazojak,TM,41.1875,61.4036,60.6,43,100,14.9,overcast clouds
328,Lompoc,US,34.6391,-120.4579,62.78,71,65,3.0,broken clouds
329,Bodo,NO,67.28,14.405,42.84,84,100,11.5,overcast clouds
330,Kachug,RU,53.9606,105.8817,56.44,59,100,5.5,overcast clouds
331,Lucea,JM,18.451,-78.1736,73.85,74,0,2.82,clear sky
332,Voh,NC,-20.9667,164.7,78.06,72,97,4.12,overcast clouds
333,Kavaratti,IN,10.5669,72.642,83.35,71,83,2.68,broken clouds
334,Kasama,ZM,-10.2129,31.1808,58.84,98,24,2.62,few clouds
335,Mahroni,IN,24.5862,78.7288,89.38,16,6,14.81,clear sky
336,Markha,RU,62.1053,129.7269,37.36,48,0,13.42,clear sky
337,Nakhon Phanom,TH,17.3333,104.4167,82.22,58,98,9.42,overcast clouds
338,Cidreira,BR,-30.1811,-50.2056,67.77,73,81,11.56,broken clouds
339,Porto Velho,BR,-8.7619,-63.9039,75.25,94,75,2.3,moderate rain
340,Luderitz,NA,-26.6481,15.1594,68.79,47,0,8.79,clear sky
341,Haysville,US,37.5645,-97.3523,47.25,73,0,10.36,clear sky
342,Praia,CV,14.9215,-23.5087,69.6,80,24,11.34,few clouds
343,Byron Bay,AU,-28.65,153.6167,74.95,65,80,5.99,broken clouds
344,Vardo,NO,70.3705,31.1107,39.51,92,99,10.04,overcast clouds
345,Homer,US,59.6425,-151.5483,41.81,68,80,1.01,broken clouds
